Fecha;C1
28/03/2023 19:35:20;1.89
28/03/2023 19:50:20;3.13
28/03/2023 20:05:20;3.78
28/03/2023 20:20:20;4.55
28/03/2023 20:35:20;2.51
28/03/2023 20:50:20;3.63
28/03/2023 21:05:20;4.61
28/03/2023 21:20:20;3.56
28/03/2023 21:35:20;4.28
28/03/2023 21:50:20;3.87
28/03/2023 22:05:20;2.30
28/03/2023 22:20:20;2.05
28/03/2023 22:35:20;2.95
28/03/2023 22:50:20;3.07
28/03/2023 23:05:20;2.72
28/03/2023 23:20:20;2.72
28/03/2023 23:35:20;2.83
28/03/2023 23:50:20;3.21
29/03/2023 00:05:20;2.62
29/03/2023 00:20:20;2.10
29/03/2023 00:35:20;1.62
29/03/2023 00:50:20;1.85
29/03/2023 01:05:20;1.58
29/03/2023 01:20:20;2.10
29/03/2023 01:35:20;1.53
29/03/2023 01:50:20;1.44
29/03/2023 02:05:20;1.57
29/03/2023 02:20:20;1.77
29/03/2023 02:35:20;1.54
29/03/2023 02:50:20;1.44
29/03/2023 03:05:20;1.78
29/03/2023 03:20:20;1.55
29/03/2023 03:35:20;1.40
29/03/2023 03:50:20;1.35
29/03/2023 04:05:20;1.48
29/03/2023 04:20:20;1.40
29/03/2023 04:35:20;1.96
29/03/2023 04:50:20;1.34
29/03/2023 05:05:20;1.29
29/03/2023 05:20:20;1.35
29/03/2023 05:35:20;1.36
29/03/2023 05:50:20;1.34
29/03/2023 06:05:20;1.77
29/03/2023 06:20:20;1.98
29/03/2023 06:35:20;1.90
29/03/2023 06:50:20;2.60
29/03/2023 07:05:20;4.55
29/03/2023 07:20:20;2.27
29/03/2023 07:35:20;2.83
29/03/2023 07:50:20;3.42
29/03/2023 08:05:20;3.21
29/03/2023 08:20:20;4.28
29/03/2023 08:35:20;2.76
29/03/2023 08:50:20;3.00
29/03/2023 09:05:20;3.13
29/03/2023 09:20:20;2.79
29/03/2023 09:35:20;3.78
29/03/2023 09:50:20;4.23
29/03/2023 10:05:20;3.78
29/03/2023 10:20:20;4.00
29/03/2023 10:35:20;2.50
29/03/2023 10:50:20;3.30
29/03/2023 11:05:20;4.55
29/03/2023 11:20:20;2.14
29/03/2023 11:35:20;2.95
29/03/2023 11:50:20;2.81
29/03/2023 12:05:20;3.02
29/03/2023 12:20:20;2.95
29/03/2023 12:35:20;3.39
29/03/2023 12:50:20;4.86
29/03/2023 13:05:20;6.31
29/03/2023 13:20:20;2.58
29/03/2023 13:35:20;4.33
29/03/2023 13:50:20;4.50
29/03/2023 14:05:20;4.61
29/03/2023 14:20:20;3.27
29/03/2023 14:35:20;2.92
29/03/2023 14:50:20;2.85
29/03/2023 15:05:20;3.46
29/03/2023 15:20:20;2.15
29/03/2023 15:35:20;2.40
29/03/2023 15:50:20;3.91
29/03/2023 16:05:20;3.67
29/03/2023 16:20:20;3.30
29/03/2023 16:35:20;3.63
29/03/2023 16:50:20;4.28
29/03/2023 17:05:20;3.82
29/03/2023 17:20:20;2.72
29/03/2023 17:35:20;3.30
29/03/2023 17:50:20;4.61
29/03/2023 18:05:20;2.57
29/03/2023 18:20:20;3.36
29/03/2023 18:35:20;3.10
29/03/2023 18:50:20;3.24
29/03/2023 19:05:20;3.75
29/03/2023 19:20:20;3.13
29/03/2023 19:35:20;3.87
29/03/2023 19:50:20;3.05
29/03/2023 20:05:20;3.78
29/03/2023 20:20:20;3.75
29/03/2023 20:35:20;3.05
29/03/2023 20:50:20;3.71
29/03/2023 21:05:20;2.46
29/03/2023 21:20:20;3.33
29/03/2023 21:35:20;3.05
29/03/2023 21:50:20;2.27
29/03/2023 22:05:20;2.18
29/03/2023 22:20:20;2.08
29/03/2023 22:35:20;2.26
29/03/2023 22:50:20;2.68
29/03/2023 23:05:20;4.09
29/03/2023 23:20:20;2.22
29/03/2023 23:35:20;2.16
29/03/2023 23:50:20;1.69
30/03/2023 00:05:20;1.12
30/03/2023 00:20:20;1.44
30/03/2023 00:35:20;1.30
30/03/2023 00:50:20;1.28
30/03/2023 01:05:20;1.43
30/03/2023 01:20:20;1.22
30/03/2023 01:35:20;1.09
30/03/2023 01:50:20;0.99
30/03/2023 02:05:20;1.23
30/03/2023 02:20:20;0.94
30/03/2023 02:35:20;1.30
30/03/2023 02:50:20;1.06
30/03/2023 03:05:20;1.55
30/03/2023 03:20:20;1.01
30/03/2023 03:35:20;1.13
30/03/2023 03:50:20;1.00
